[2024-02-26 13:54:47.070]	 List of discovered tpm plugins: arcticicestudio/nord-tmux tmux-plugins/tmux-prefix-highlight tmux-plugins/tmux-copycat tmux-plugins/tmux-cpu tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum
[2024-02-26 15:27:54.732]	   "tmux-cpu" download success
[2024-02-26 15:27:54.771]	   "tmux-copycat" download success
[2024-02-26 15:27:54.785]	   "nord-tmux" download success
[2024-02-26 15:27:54.903]	   "tmux-prefix-highlight" download success
[2024-02-26 15:27:55.400]	   "tmux-continuum" download success
[2024-02-26 15:27:55.984]	   "tmux-resurrect" download success
[2024-02-26 15:27:55.995]	 Invoking /home/hillton/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-02-26 15:27:56.011]	 Updating all plugins!
[2024-02-26 15:27:56.011]	 
[2024-02-26 15:27:56.772]	   "nord-tmux" update success
[2024-02-26 15:27:56.775]	     | Already up to date.
[2024-02-26 15:27:56.789]	   "tmux-prefix-highlight" update success
[2024-02-26 15:27:56.791]	     | Already up to date.
[2024-02-26 15:27:56.795]	   "tmux-resurrect" update success
[2024-02-26 15:27:56.797]	     | Already up to date.
[2024-02-26 15:27:56.802]	   "vim-tmux-navigator" update success
[2024-02-26 15:27:56.804]	     | Already up to date.
[2024-02-26 15:27:56.814]	   "tmux-cpu" update success
[2024-02-26 15:27:56.814]	   "tmux-copycat" update success
[2024-02-26 15:27:56.817]	     | Already up to date.
[2024-02-26 15:27:56.817]	     | Already up to date.
[2024-02-26 15:27:56.818]	   "tmux-continuum" update success
[2024-02-26 15:27:56.820]	     | Already up to date.
[2024-02-26 15:27:56.831]	 Invoking /home/hillton/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-02-26 15:27:56.878]	 Done.

[2024-02-26 15:28:16.808]	 List of discovered tpm plugins: arcticicestudio/nord-tmux tmux-plugins/tmux-prefix-highlight christoomey/vim-tmux-navigator tmux-plugins/tmux-copycat tmux-plugins/tmux-cpu tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum
[2024-02-26 15:28:16.819]	 Invoking /home/hillton/.config/tmux/plugins/tpm/bin/install_plugins
[2024-02-26 15:28:16.855]	 Already installed "nord-tmux"
[2024-02-26 15:28:16.855]	 Already installed "tmux-prefix-highlight"
[2024-02-26 15:28:16.855]	 Already installed "tmux-copycat"
[2024-02-26 15:28:16.855]	 Already installed "vim-tmux-navigator"
[2024-02-26 15:28:16.855]	 Already installed "tmux-cpu"
[2024-02-26 15:28:16.856]	 Already installed "tmux-resurrect"
[2024-02-26 15:28:16.856]	 Already installed "tmux-continuum"
[2024-02-26 15:28:16.867]	 Invoking /home/hillton/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-02-26 15:28:16.882]	 Updating all plugins!
[2024-02-26 15:28:16.882]	 
[2024-02-26 15:28:17.648]	   "tmux-prefix-highlight" update success
[2024-02-26 15:28:17.650]	     | Already up to date.
[2024-02-26 15:28:17.654]	   "nord-tmux" update success
[2024-02-26 15:28:17.657]	     | Already up to date.
[2024-02-26 15:28:17.660]	   "tmux-cpu" update success
[2024-02-26 15:28:17.662]	   "tmux-resurrect" update success
[2024-02-26 15:28:17.663]	     | Already up to date.
[2024-02-26 15:28:17.665]	     | Already up to date.
[2024-02-26 15:28:17.670]	   "tmux-copycat" update success
[2024-02-26 15:28:17.672]	     | Already up to date.
[2024-02-26 15:28:17.678]	   "vim-tmux-navigator" update success
[2024-02-26 15:28:17.681]	     | Already up to date.
[2024-02-26 15:28:17.703]	   "tmux-continuum" update success
[2024-02-26 15:28:17.705]	     | Already up to date.
